Geneid,231_N,MCF12a_S,MCF12a_N,MCF10a_S,MCF10a_N,CA1d_S,CA1d_N,CA1a_S,CA1a_N,453_S,453_N,231_S
51690,3349,2896,3503,5112,4883,553,4921,1211,4872,3321,2769,3638
51691,4821,5013,5027,2550,2864,208,2632,239,1478,3360,3851,4985
51692,3806,2908,4079,6144,6118,40,2243,483,2338,2829,2098,4246
51693,1931,2484,1771,3457,2672,746,1819,611,2039,1740,1128,2361
51696,6166,10722,9446,5783,3114,4687,24804,4800,18280,4191,1879,6583
51699,5064,1588,2451,3995,5684,762,1353,398,1840,3452,3531,5554
517,7278,8635,8454,25048,22883,3858,9148,1769,12673,9943,7322,7667
5170,7222,8860,12671,15559,9741,2629,15609,4854,10725,16142,12135,8472
51700,40,27,49,153,98,0,256,411,1318,201,310,66
51701,3190,1736,2335,3802,3316,255,1635,69,2225,2056,2385,3342
51702,219,381,491,73,56,0,323,0,259,0,0,159
51703,6517,559,878,11637,10742,0,47,503,276,94,88,8968
51704,143,16,34,28,16,0,221,0,185,502,239,168
51705,5,0,18,0,0,0,0,0,0,0,0,7
51706,3587,6275,8949,14411,7302,568,1397,1545,2715,6558,5874,4097
51710,351,1116,1574,1242,1256,109,22,1,36,1419,2298,422
51714,2524,3648,5752,6722,6850,226,4313,885,4559,4499,3897,2793
51715,2839,1137,1106,3188,3449,0,591,207,1090,1135,766,2982
51716,0,43,23,17,42,0,4,0,0,0,0,2
51719,9191,10132,12974,14755,11288,2443,6658,4715,15535,8685,9370,9673
5172,284,65,45,24,88,0,33,60,66,23,7,302
51720,7452,7719,5709,9518,9083,1889,11708,2125,11495,3475,3483,8936
51725,4,3,1,6,3,0,0,72,1,0,6,4
51726,1732,5688,6126,6677,7440,1402,8842,2058,9702,4558,2818,2078
51727,10228,10220,14948,14018,15922,2476,17350,4572,22853,11368,7744,10671
51728,1061,2116,1994,3289,3274,295,622,154,1197,3345,1851,1338
51729,7912,4539,5711,10477,9799,1923,2883,1708,5025,6958,4949,8218
5173,0,0,0,6,0,139,20,0,0,1,0,0
51733,65,285,47,30,41,0,0,0,20,34,17,39
51734,1557,3007,2362,8643,5696,607,709,1640,690,2165,1000,1866
51735,9357,6461,5657,9309,10224,1514,12917,1039,6204,6753,7084,9854
51738,388,224,569,731,570,317,92,350,158,484,409,484
5174,630,112,191,212,375,0,207,0,124,342,431,668
51741,1533,4574,2916,2840,2445,340,979,284,374,667,607,2047
51742,7897,19373,15175,16823,14717,2083,7316,1633,9613,13564,16124,7641
51744,5,58,48,25,2,397,12,46,1,2,0,3
51747,20427,30619,16922,14267,19269,1615,12177,4433,21543,28261,30322,22908
5175,2707,2980,1544,23774,35682,2720,746,1634,604,60,36,3423
51750,617,618,494,592,447,0,616,155,612,796,681,762
51751,323,39,202,134,186,0,74,0,103,154,135,303
